question,keywords1,keywords2,keywords3,keywords4,
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل,,,
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,العلق:اقرا:إقرأ,,,
كيف كانت دعوة الرسول في البداية ؟,سراً:سرية,,,
كم دامت الدعوة السرية في مكة ؟ وبما تميزت؟,ثلاثة:3,تخفي:سرية,,
اذكر بعض أسماء السابقين إلى الإسلام؟,خديجة:علي:زيد ابن حارثة:الارقم,,,
بما واجه سيدنا محمد (ص) إيذاء قومه له ؟,,,,
ما مظاهر صبر رسول الله (ص) على الأذى؟,,,,
كيف كانت دعوة الرسول قومه في المرحلة الثانية ؟,جهرية:جهرا,,,
كيف أقبل عليهم عند دعوتهم ؟,,,,
اذكر آية تبين أمر الله لرسوله بالجهر بالدعوة؟,فاصدع بما تومر واعرض عن المشركين,,,
من هم آل ياسر؟,سمية  ,عمار ,ياسر,
إلى ماذا تعرض آل ياسر؟,الاذى ,تعذيب,,
كم هم أفراد آل ياسر الذين تعرضوا للأذى ؟,ثلاثة:3,,,
بم نصحهم الرسول  ؟,صبر:يصبروا:يصبرو,,,
بم بشرهم رسول الله  ؟,الجنة:جنة,,,
استشهد على ذلك ؟,صبرا ,موعدكم ,الجنة,
ما القيمة المسخلصة من قصة آل ياسر؟,الصبر ,التضحية,,
ما جزا ء من ابتلاه الله فصبر؟,الجنة:جنة,,,
