id_question,ref_ans
1_1,الدراسة التى تتناول جوانب الطبيعة بما يحدده حياة الكائن و كيفية استخدامه لمكونات البيئة.
1_2,كل ما يحيط بالإنسان من مكونات حية أو غير حية يؤثر فيها و يتأثر بها.
1_3,الإطار الذى يحيا فيه الإنسان مع غيره من الكائنات الحية و يحصل منها على مقومات حياته.
1_4,البيئة التى يشترك فيها الإنسان مع سائر الكائنات الحية.
1_5,البيئة التى يشترك فيها الإنسان مع أقرانه من البشر.
1_6,البيئة التى صنعها الإنسان بعلمه و تقدمه.
1_7,العلم الذى يعنى بدراسة التفاعل بين الحياة ومكونات البيئة من حيث:تطبيق المعلومات فى المجالات المعرفية (الفيزيائية و الكيمائية و البيولوجية و الإجتماعية و الإقتصادية).المحافظة على البيئة و حسن إستثمارها وعدم إهدارها.وقاية المجتمعات من الأثار الضارة التى تحدث بفعل الطبيعة أو التعامل غير السوى للإنسان مع البيئة.
1_8,الحيز الذى توجد به الحياة وهو يمتد من أكبر عمق توجد به الحياة فى البحار إلى أقصى إرتفاع توجد عليه الحياة فى الجبال ولا يزيد أقصى سمك له 14 كم.
1_9,نظام يصف كل ما يتعلق بالكائنات الحية و المكونات غير الحية من تفاعلات و تبادلات فى حيز محدود من الطبيعة مثل ( الغابة – الصحراء – النهر – البحر - الواحة ).
1_10,منظومة إيكولوجية معقدة من عمليات متشابكة و مترابطة تتميز بالعديد من المسارات التى تؤدى إلى تغير معدلات نمو الجماعات الحية و تصل بها إلى حالة مستقرة من التوازن فى إطار النظام ككل.
1_11,هى كائنات حية ذاتية التغذية مثل النباتات الخضراء التى تحول الطاقة الشمسية إلى طاقة كيميائية تدخر فى الغذاء عن طريق عملية البناء الضوئى.
1_12,هى كائنات غير ذاتية التغذية تعتمد على النباتات الخضراء كغذاء لها ، و هى قد تكون حيوانات عشبية أو حيوانات مفترسة.
1_13,كائنات مجهرية تتغذى على أجسام الكائنات الميتة حيث تحللها و تستمد منها الطاقة تاركة الأملاح و المواد الأخرى تعود إلى التربة، ومن أمثلتها البكتريا الرمية و الفطريات.
1_14,الحركة الموقعية للنبات نتيجة للنمو فى إتجاه يحدده موقع المؤثر من النبات كالضوء.
1_15,العلاقة بين فترة الإضاءة التى يحصل عليها النبات و فترة الإظلام التى يتعرض لها بعد ذلك بالتعاقب كل 24 سنة.
1_16,ظاهرة حيوية ذات طبيعة دورية تتم بإنتقال جماعة معينة من الحيوانات خلال أوقات أو مواسم معينة من مكان إلى أخر.
1_17,قدرة النظام البيئى على العودة إلى وضعه الأول بعد أى تغير يطرأ عليه دون حدوث أى تغير أساسى فى تكوينه.
1_18,كائنات نباتية أو حيوانية دقيقة الحجم تحملها الأمواج بلا مقاومة نظرا لصغر أجسامها.
2_1,تعدد المكونات (غير حية ، أحيائية)، تشابك العلاقات ،الإستقرار مع القابلية للتغير، إستخدام الفضلات.
2_2,تعتمد شدة الاستضاءة فى البحار على كمية الضوء النافذ خلال ماء البحر حيث ينعكس جزء منه على سطح الماء و يمتص جزء اخر و ينفذ الجزء المتبقى إلى عمق معين).، يتوقف العمق الذى يصل إليه الضوء النافذ على طول موجة الضوء:فالأشعة الحمراء: طويلة الموجة و تمتص فى الطبقات العليا للماء. توزيع شدة الاستضاءة فى مياه البحار: تقل الاستضاءة تدريجيا حتى عمق 500 متر تقريبا. يتلاشى الضوء بعد ذلك حتى يسود الظلام التام باقى عمق الماء.يلعب الضوء النافذ فى المياه السطحية للبحار دورا هاما فى :انتشار الكائنات النباتية حيث يوجد الضوء لتقوم بعملية البناء الضوئى و تختفى تماما فى المياه المظلمة. توزيع الأحياء التى تعتمد على الكائنات النباتية فى غذائها.
2_3,تتوافر فى المياه السطحية أملاح الفوسفات و النترات مما يساعد فى تكوين البروتين فى خلايا النباتات البحرية، مما يعمل على نمو و تكاثر تلك النباتات. تدور هذه العناصر بين الأحياء و المياه فى دورات منتظمة تبدأ بتحررها من أجسام الأحياء بعد موتها و ترسبها نحو القاع. كلما كانت المياه متحركة و بها تيارات صاعدة زاد توفر العناصر المغذية فيها مما يعمل على ازدهار الحياة النباتية فى طبقات المياه العليا و تزداد الحيوانات التى تتغذى عليها و تكثر الأسماك.
2_4,تتحمل الضغط الزائد للماء، تتحمل البرودة الشديدة فى الأعماق، تسطيع العيش فى الظلام الدامس.
