idx_quest_ref,rater1,rater2,stu_answer
1_1,4,4,"الدراسة التى تتناول مكونات البيئة و استخدام الإنسان لها.
"
1_1,3,3,"هو العلم الذى يتناول كل ما له علاقة بالأرض من حيث مكوناتها وحركتها و تاريخها و الظواهر التى تحدث عليها.
"
1_1,4,3,"تعنى علم دراسة مكان المعيشة أو يقصد بها العلاقات المتبادلة بين الاحياء و البيئة.
"
1_1,3,3,"هو علم توزيع الكائنات الحية على الأرض و تأثرها على البيئة.
"
1_1,5,5,"الدراسة التى تتناول جوانب الطبيعة و كيفية استخدام الكائنات الحية لها.
"
1_1,5,5,"الدراسة التى تهتم بالبيئة من حيث مكوناتها و كيفية استخدام الكائنات الحية لهذه المكونات.
"
1_1,5,5,"الدراسة التى تعرض جوانب الطبيعة بما يحدده الكائن الحى و كيفية استخدامه لمكونات البيئة.
"
1_1,3,2,"الدراسة التى تتناول مكونات البيئة و الكائنات الحية.
"
1_1,2,2,"هى الدراسة التى تهتم بكل ما يحيط بالكائن الحى.
"
1_1,3,3,"هو العلم الذى يهتم بالبيئة و الكائنات الحية و الغير حية.
"
1_2,3,3,"كلمة تعنى الحيز أو النطاق الذى يعيش فيه الكائن الحى و بالطبع فهو متكيف مع البيئة.
"
1_2,4,4,"الحيز أو الوسط الذى يحيا به الكائن الحى و يؤثر فيه و يتأثر به.
"
1_2,4,4,"الإطار الذى يحيط بالكائن الحى و يؤثر فيه و يتأثر به.
"
1_2,4,4,"ما يحيط بالإنسان من مكونات يؤثر فيها و يتأثر بها.
"
1_2,5,5,"كل ما يحيط بالإنسان من مكونات حية أو غير حية يؤثر فيها و يتأثر بها.
"
1_2,3,2,"الوسط الذى يحيط بالإنسان و يتأثر به.
"
1_2,4,4,"الإطار الذى يحيط بالإنسان من مكونات يؤثر فيها و يتأثر بها.
"
1_2,3,2,"الحيز الذى يعيش فيه الإنسان ليتكيف مع البيئة.
"
1_2,4,4,"كل شئ يحيط بالإنسان و يتأثر به و يؤثر عليه.
"
1_2,5,4,"	الوسط الذى يحيط بالإنسان من مكونات حية و غير حية وكيفية التعامل معها.
"
1_3,5,5,"الإطار الذى يحيا فيه الإنسان مع غيره من الكائنات الحية و يحصل منها على مقومات حياته.
"
1_3,5,5,"هى الإطار الذى يحيا فيه مع غيره من الكائنات الحية و يحصل منها على مقومات حياته.
"
1_3,5,5,"هى الإطار الذى يحيا فيه الإنسان مع غيره من الكائنات الحية و يحصل منها على مقومات حياته.
"
1_3,5,5,"الحيز الذى يحيط بالإنسان مع الكائنات الحية الأخرى ليحصل على مقومات الحياة.
"
1_3,5,4,"الحيز الذى يحيط بالإنسان مع الكائنات الحية الأخرى الذى يستفيد منها للقدرة على العيش.
"
1_3,1,1,"كل ما يحيط بالإنسان من مكونات حية أو غير حية يؤثر فيها و يتأثر بها.
"
1_3,4,4,"كل ما يحيط بالإنسان من مكونات حية يحصل بها على ما يريده لمقومات الحياة.
"
1_3,5,5,"الإطار الذى يحيا فيه الإنسان مع سائر الكائنات الحية ليحصل على مقومات الحياة.
"
1_3,2,3,"الإطار الذى يشترك فيه الإنسان مع الكائنات الحية الأخرى.
"
1_3,1,1,"الإطار الذى يحيط بالكائنات الحية للتمكن من الحصول على مقومات الحياة.
"
1_4,5,5,"البيئة التى يشترك فيها الإنسان مع سائر الكائنات الحية.
"
1_4,5,5,"البيئة التى يشترك فيها الإنسان مع جميع الكائنات الحية.
"
1_4,2,2,"البيئة التى تشترك فيها جميع الكائنات الحية.
"
1_4,3,3,"هى مشاركة باقى الكائنات الحية للإنسان.
"
1_4,0,0,"كل محتويات الطبيعة من اليابس و النظام البحرى.
"
