question,stu_answer,grade
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل عليه السلام,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,سيدنا جبريل عليه السلام,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,"جبريل عليه السلام
 ",0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,إسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم هو جبريل عليه السلام ,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل عليه السلام ,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل عليه السلام,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل عليه السلام,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل ,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,ز,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل عليه السلام ,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,سيدنا جبريل,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل عليه السلام ,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل عليه السلام,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,ملك الموت,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل عليه السلام,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل عليه السلام ,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل عليه السلام,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,سيدنا جبريل,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,"جبريل عليه السلام
",0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,jibril,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,اسم  الملك المكلف بالوحي هو جبريل عليه السلام ,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,سيدنا جبريل عليه السلام,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,سيدنا جبريل عليه السلام,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل عليه السلام ,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل عليه اليلام,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل عليه السلام,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,الملك جبريل ,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل عليه السلام ,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,سيدنا جبريل,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل عليه السلام,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,الملك جبريل,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,_ سيدنا جبريل.,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,انه جبريل عليه السلام ,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,سيدنا جبريل عليه السلام,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل عليه السلام ,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,إسم الملك هو جبريل,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل ,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل عليه السلام.,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل عليه السلام,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل عليه السلام ,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل ,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,الملك جبريل,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,سيدنا جبريل عليه السلام. ,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل عليه السلام ,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل عليه السلام ,0
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,جبريل عليه السلام,0
